first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jarod,Epperson,13,191,1067,5.6,11,,,,,,36,370,10.28,2
Rashad,Lampkin,12,63,325,5.2,2,,,,,,7,51,7.29,0
Casey,Bauman,13,99,322,3.3,5,216,341,2878,29,9,,,,
Kyle,Graham,12,48,188,3.9,4,,,,,,7,39,5.57,0
Devon,Jones,13,6,40,6.7,1,,,,,,41,587,14.32,8
Jack,Teigen,13,15,35,2.3,0,,,,,,,,,
Thomas,Scholten,6,2,9,4.5,0,2,3,16,0,1,,,,
Avery,Book,13,1,4,4.0,0,,,,,,,,,
Gunnar,Hensley,1,1,0,0.0,0,,,,,,,,,
Connor,Neill,13,1,0,0.0,0,,,,,,,,,
Canyon,Bauer,8,2,-4,-2.0,0,,,,,,16,227,14.19,5
Jack,Fisher,13,,,,,,,,,,32,549,17.16,4
Logan,Uttecht,13,,,,,,,,,,34,404,11.88,5
Mitchell,Goodbary,13,,,,,,,,,,17,295,17.35,3
Isaiah,Huber,13,,,,,,,,,,18,254,14.11,1
Matt,Francis,13,,,,,,,,,,4,49,12.25,1
Max,Minor,9,,,,,,,,,,4,42,10.50,0
Austin,Johnston,3,,,,,,,,,,1,26,26.00,0
Liam,Francis,11,,,,,,,,,,1,1,1.00,0
Sam,Scholten,9,,,,,,,,,,0,0,0.0,0
