first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Sage,Booker,12,97,515,5.3,6,,,,,,23,262,11.39,2
Ali,Mohamed,11,114,494,4.3,7,,,,,,5,52,10.40,1
Jayden,Washington,12,68,255,3.8,2,,,,,,12,172,14.33,0
Jarrett,Gronski,12,62,246,4.0,2,,,,,,,,,
Sam,McGath,12,17,109,6.4,2,12,21,153,3,0,,,,
Brandon,Alt,12,33,39,1.2,0,226,376,2988,26,9,,,,
Elliott,Lowney,12,2,27,13.5,0,,,,,,,,,
Uriah,Glynn,3,5,14,2.8,0,,,,,,,,,
Marcus,Hansen,12,1,-2,-2.0,0,,,,,,,,,
Shane,Atz,2,1,-20,-20.0,0,,,,,,,,,
Dhel,Duncan-Busby,12,,,,,,,,,,49,825,16.84,11
Jake,Hill,12,,,,,,,,,,40,486,12.15,2
Brice,Peters,11,,,,,,,,,,29,381,13.14,6
Joey,Baron,12,,,,,,,,,,37,349,9.43,3
Drayton,Lehman,12,,,,,,,,,,23,306,13.30,0
Mike,Wandmaker,12,,,,,,,,,,13,234,18.00,3
Sam,Kanne,10,,,,,,,,,,1,21,21.00,0
Dylan,Wheeler,12,,,,,,,,,,2,21,10.50,0
Michael,Schurman,5,,,,,,,,,,1,16,16.00,0
Kaleb,Miller,2,,,,,,,,,,2,13,6.50,0
Kurt,Heerdegen,2,,,,,,,,,,1,3,3.00,1
Matt,Donovan,1,,,,,,,,,,0,0,0.0,0
Colton,Hinrichs,12,,,,,,,,,,0,0,0.0,0
Dominic,Jackson,1,,,,,,,,,,0,0,0.0,0
Lane,Larson,2,,,,,,,,,,0,0,0.0,0
Ricky,ThompsonII,12,,,,,,,,,,0,0,0.0,0
