first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,11,189,942,5.0,7,,,,,,27,234,8.67,1
Daniel,Hornacek,9,54,383,7.1,3,,,,,,10,81,8.10,0
Conner,Cordts,11,76,203,2.7,2,160,303,1787,9,9,,,,
Troy,Ellison,11,11,81,7.4,2,2,3,49,1,0,51,479,9.39,2
Jaire,Moore,6,11,39,3.5,0,,,,,,0,0,0.0,0
James,Evans,11,9,32,3.6,2,,,,,,,,,
Jackson,Compton,1,4,23,5.8,0,5,9,47,0,1,,,,
Reed,Styer,4,4,14,3.5,0,7,30,45,0,3,,,,
Rene,Zaldivar,7,3,1,0.3,1,,,,,,12,103,8.58,1
Drew,Enke,11,,,,,,,,,,28,425,15.18,1
Peter,Udoibok,11,,,,,,,,,,18,358,19.89,3
Dion,Green,6,,,,,,,,,,10,58,5.80,1
Grant,Miles,11,,,,,,,,,,7,51,7.29,1
EJ,Stoffel,11,,,,,,,,,,4,44,11.00,0
Ricky,Dixon,10,,,,,,,,,,3,39,13.00,0
Adrian,Adams,11,,,,,,,,,,2,25,12.50,0
Jacob,Cannon,2,,,,,,,,,,1,23,23.00,0
Tyjae,Williams,5,,,,,,,,,,1,8,8.00,0
Jamel,Criswell,1,,,,,,,,,,0,0,0.0,0
Zach,McGee,3,,,,,,,,,,0,0,0.0,0
Brock,Thornton,5,,,,,,,,,,0,0,0.0,0
