first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Kyle,Walljasper,11,166,1071,6.5,16,118,202,1580,22,3,1,34,34.00,1
Jaylen,McKnight,11,73,437,6.0,4,,,,,,4,28,7.00,0
Daniel,Mitchell,9,46,353,7.7,2,,,,,,5,44,8.80,1
Chamere,Thomas,11,41,274,6.7,1,,,,,,6,33,5.50,0
Ben,Vallafskey,3,23,142,6.2,0,,,,,,,,,
DaShaun,Ames,11,12,117,9.8,1,1,1,20,1,0,25,441,17.64,3
Alex,Riley,2,15,88,5.9,0,,,,,,,,,
Levon,Bellemy,5,19,68,3.6,0,1,1,15,0,0,1,8,8.00,0
Nathan,Litke,5,9,51,5.7,0,,,,,,2,4,2.00,1
Jimmy,Durocher,11,3,39,13.0,1,1,1,34,1,0,33,548,16.61,5
Nick,Ojile,11,2,33,16.5,0,,,,,,7,28,4.00,3
Cooper,Yeary,11,2,9,4.5,0,,,,,,9,100,11.11,1
Tayvion,McCoy,4,1,8,8.0,0,,,,,,1,15,15.00,0
Aj,Bowman,1,2,5,2.5,0,,,,,,,,,
Nejeh,Mitchell,3,1,4,4.0,0,,,,,,4,34,8.50,0
Jacob,Eggert,6,1,1,1.0,0,18,29,172,2,1,,,,
Treyvon,Cahalan,11,0,0,0.0,0,,,,,,,,,
Rad,Premovic,2,1,-5,-5.0,0,1,2,6,0,0,,,,
Sam,Pitz,11,,,,,,,,,,25,356,14.24,9
Ryder,Patterson,3,,,,,,,,,,4,58,14.50,0
Joel,Forgacs,10,,,,,,,,,,3,26,8.67,0
Joey,Flaherty,2,,,,,,,,,,2,21,10.50,0
Chuck,GilbertIII,2,,,,,,,,,,2,21,10.50,0
Cameron,Miller,11,,,,,,,,,,3,11,3.67,1
Brody,Clark,8,,,,,,,,,,1,9,9.00,0
Kameron,Blevins,8,,,,,,,,,,1,4,4.00,0
Nate,Branch,2,,,,,,,,,,1,4,4.00,1
Trace,Bowman,2,,,,,,,,,,0,0,0.0,0
