first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Shen,Butler-Lawson,12,219,1446,6.6,15,,,,,,13,67,5.15,2
Christian,Vasser,10,70,421,6.0,2,,,,,,4,24,6.00,0
Hayden,Ekern,12,83,330,4.0,5,202,347,2654,23,11,,,,
Tony,Anger,11,41,185,4.5,5,,,,,,18,145,8.06,3
Sam,Backer,2,16,67,4.2,0,,,,,,,,,
William,KingIII,5,16,56,3.5,0,6,12,72,1,0,,,,
Jeremiah,Howard,12,8,35,4.4,0,,,,,,13,178,13.69,1
Mason,Perich,12,1,20,20.0,0,,,,,,18,300,16.67,4
Casey,Erickson,9,4,10,2.5,0,,,,,,,,,
Brady,Borgen,3,2,4,2.0,0,,,,,,3,27,9.00,0
Gabe,Hagen,11,1,1,1.0,1,,,,,,13,161,12.38,1
Keeshawn,Westley,12,0,0,0.0,0,,,,,,,,,
Jacob,Daulton,12,1,-4,-4.0,0,,,,,,,,,
Joey,Goettl,12,1,-17,-17.0,0,,,,,,,,,
TreShawn,Watson,12,,,,,,,,,,36,582,16.17,6
Isaiah,Emanuel,12,,,,,,,,,,39,516,13.23,2
Grant,Guyett,12,,,,,,,,,,35,483,13.80,3
Andrew,Laplant,12,,,,,,,,,,8,128,16.00,0
Aiden,Ferguson,11,,,,,,,,,,4,63,15.75,1
Jake,Cicero,9,,,,,,,,,,1,17,17.00,0
Anthony,Valainis,8,,,,,,,,,,2,12,6.00,1
Brock,Galetich,11,,,,,,,,,,1,6,6.00,0
Matteo,Bonnin,4,,,,,,,,,,0,0,0.0,0
Dakota,Smith,12,,,,,,,,,,0,0,0.0,0
