first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Myles,West,11,174,767,4.4,5,,,,,,2,15,7.50,0
Evan,Lovett,4,46,271,5.9,2,,,,,,3,21,7.00,0
Erik,Palmquist,11,62,237,3.8,2,0,1,0,0,1,9,167,18.56,0
Sam,Buckhanan,10,34,150,4.4,2,,,,,,1,43,43.00,0
Dondrae,Fair,6,55,143,2.6,1,16,40,296,0,1,,,,
Dawson,Macleary,5,27,96,3.6,1,29,63,357,3,1,,,,
Devan,Daniels,1,17,73,4.3,0,,,,,,1,0,0.00,0
Isaiah,Griffin,8,13,56,4.3,1,,,,,,0,0,0.0,0
Isaiah,Young,4,6,40,6.7,0,,,,,,0,0,0.0,0
Tyler,Stonebraker,6,21,32,1.5,0,,,,,,2,19,9.50,0
Jonathan,Noriega,7,4,7,1.8,0,,,,,,0,0,0.0,0
Aaron,Wood,4,2,6,3.0,0,,,,,,0,0,0.0,0
Cole,Hansen,3,7,3,0.4,0,2,6,61,0,0,,,,
Justin,Cash,11,1,0,0.0,0,,,,,,,,,
Vili,Fetapai,10,0,0,0.0,0,,,,,,,,,
Joemah,Norman,3,2,-1,-0.5,0,,,,,,1,38,38.00,0
Jayden,Speraw,8,38,-4,-0.1,1,5,23,81,0,2,,,,
Daniel,Stokes,11,3,-11,-3.7,0,,,,,,16,285,17.81,2
James,Mintmier,10,,,,,,,,,,6,124,20.67,1
Johnny,Bellino,9,,,,,,,,,,3,38,12.67,0
Josh,Pinello,7,,,,,,,,,,1,27,27.00,0
Denzel,Williams,10,,,,,,,,,,7,18,2.57,0
Ben,Hardy,4,,,,,,,,,,0,0,0.0,0
Carson,Heinen,8,,,,,,,,,,0,0,0.0,0
Knylen,Miller-Levi,11,,,,,,,,,,0,0,0.0,0
