first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Tyson,Powell,10,47,243,5.2,7,,,,,,28,153,5.46,0
Luke,Imdieke,8,30,165,5.5,0,,,,,,42,242,5.76,1
Owen,Wiersma,5,20,113,5.7,1,,,,,,2,3,1.50,0
Fynn,Ridgeway,3,16,93,5.8,1,,,,,,6,40,6.67,0
Clayton,Kosel,2,2,4,2.0,0,,,,,,,,,
Tyler,Martin,11,0,0,0.0,0,,,,,,,,,
Brooks,O'Brien,11,0,0,0.0,0,,,,,,,,,
Tommy,Falk,4,3,-19,-6.3,0,7,12,51,1,2,,,,
Jack,Strand,11,78,-49,-0.6,1,370,550,3914,36,10,,,,
Gage,Florence,11,,,,,,,,,,108,996,9.22,9
Madden,Thorson,11,,,,,,,,,,58,676,11.66,4
Brady,Perryman,11,,,,,,,,,,53,644,12.15,8
Carter,Birrenkott,7,,,,,,,,,,32,593,18.53,6
Ryan,Bieberdorf,9,,,,,,,,,,36,530,14.72,8
Jacob,Vetter,10,,,,,,,,,,10,80,8.00,1
Louis,Sobiech,11,,,,,,,,,,1,5,5.00,0
Kelly,Johnson,1,,,,,,,,,,1,3,3.00,0
Carson,Elbert,8,,,,,,,,,,0,0,0.0,0
