first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Brett,Brenton,10,127,613,4.8,5,,,,,,12,61,5.08,0
Hank,Kraft,11,53,390,7.4,3,,,,,,0,0,0.0,0
Stanley,HaskinsJr.,9,68,338,5.0,4,,,,,,4,5,1.25,0
Colton,Hackel,10,82,254,3.1,4,81,152,1306,8,8,,,,
Jacob,VanLandingham,11,30,27,0.9,1,61,86,806,8,3,3,40,13.33,0
Dakota,Larson,11,1,21,21.0,0,,,,,,65,965,14.85,6
Hunter,DeRize,11,2,11,5.5,0,,,,,,15,179,11.93,1
Levi,Cooper,3,1,3,3.0,0,2,2,12,0,0,,,,
Zach,Hanson,11,0,0,0.0,0,,,,,,,,,
Anthony,HarrisJr.,11,0,0,0.0,0,,,,,,,,,
Anthony,Vespo,3,15,-21,-1.4,0,49,83,618,4,3,,,,
Maxamillion,Thomson,1,,,,,2,2,13,0,0,,,,
Dewaylon,Ingram,11,,,,,,,,,,70,1220,17.43,11
Bradyn,Oakley,5,,,,,,,,,,11,135,12.27,0
Nick,Kennewell,11,,,,,,,,,,9,118,13.11,0
Gavin,Giesler,7,,,,,,,,,,2,15,7.50,1
Jackson,Warren,2,,,,,,,,,,1,8,8.00,0
Trevor,Schwartz,5,,,,,,,,,,1,4,4.00,0
Rob,Weber,10,,,,,,,,,,1,4,4.00,0
Clayton,Grueneich,9,,,,,,,,,,1,1,1.00,1
