first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Donald,Austin,11,212,965,4.6,8,,,,,,14,133,9.50,1
Marcus,Martin,10,91,96,1.1,2,162,285,1984,10,13,,,,
Tomele,Staples,7,23,84,3.7,1,15,26,198,0,0,,,,
Eric,Lira,10,6,45,7.5,0,,,,,,37,410,11.08,2
Treay,Taylor,10,19,35,1.8,0,,,,,,2,28,14.00,0
Peter,Osman,11,6,22,3.7,0,,,,,,42,533,12.69,2
Blake,Allen,3,6,21,3.5,0,,,,,,1,5,5.00,0
Colin,Maher,9,3,16,5.3,0,,,,,,15,189,12.60,0
Greg,Schafer,3,1,16,16.0,0,,,,,,2,2,1.00,0
Cade,Eddington,10,1,5,5.0,0,,,,,,4,59,14.75,0
Jake,Anderson,11,0,0,0.0,0,,,,,,11,195,17.73,0
Octavis,Cherry,5,1,-6,-6.0,0,,,,,,,,,
Mason,Carver,9,2,-28,-14.0,0,,,,,,,,,
Rashaan,Palmer,10,,,,,,,,,,13,278,21.38,2
Dustin,Pampel,11,,,,,,,,,,16,142,8.88,1
Albert,Lemon,7,,,,,,,,,,9,90,10.00,1
Nathan,Stearns,11,,,,,,,,,,5,64,12.80,0
Brye,Hardel,11,,,,,,,,,,6,54,9.00,1
