first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Dylan,Rudningen,11,147,817,5.6,6,,,,,,8,84,10.50,0
Camden,Dean,11,133,740,5.6,6,187,290,2059,18,10,1,-6,-6.00,0
Matt,Grzybowski,11,85,338,4.0,3,,,,,,7,28,4.00,2
Christian,Janis,10,3,20,6.7,0,,,,,,18,214,11.89,3
Adam,Mullen,8,10,17,1.7,0,42,73,444,4,4,,,,
Jacqueze,Lockett,9,18,14,0.8,0,,,,,,5,17,3.40,0
Jaelon,Taylor,3,1,11,11.0,0,,,,,,4,37,9.25,1
Isaac,Benoit,3,2,9,4.5,0,,,,,,,,,
Adonis,Hutchinson,11,1,6,6.0,0,,,,,,22,334,15.18,2
Carter,Slykhuis,11,3,-3,-1.0,0,,,,,,70,773,11.04,5
Noah,Robertson,9,1,-11,-11.0,0,,,,,,,,,
Mark,Leonard,11,,,,,,,,,,38,440,11.58,4
Darfnell,Gouin,11,,,,,,,,,,18,228,12.67,1
Travis,Yohnke,11,,,,,,,,,,10,110,11.00,2
Hunter,Schneider,10,,,,,,,,,,11,104,9.45,2
John,Palmer,4,,,,,,,,,,7,81,11.57,0
Alex,Murrell,11,,,,,,,,,,7,50,7.14,0
Ethan,Bachmann,7,,,,,,,,,,2,14,7.00,0
Lance,Opp,4,,,,,,,,,,1,9,9.00,0
Nate,Tillak,11,,,,,,,,,,0,0,0.0,0
