first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jeremiah,Moore,11,77,276,3.6,2,,,,,,16,69,4.31,0
Amir,Bankhead,7,47,220,4.7,3,,,,,,6,16,2.67,0
Andrew,Trandahl,11,83,139,1.7,0,,,,,,27,181,6.70,0
Sofian,Massoud,11,50,81,1.6,1,146,236,1355,9,6,,,,
Kevin,Powell,11,1,17,17.0,0,1,1,25,0,0,,,,
Jaxon,Young,11,1,2,2.0,0,,,,,,37,314,8.49,1
Mujeeb,Rufai,11,1,-4,-4.0,0,,,,,,65,569,8.75,3
Carl,Henry,3,1,-12,-12.0,0,,,,,,,,,
Jesse,Forknell,9,14,-52,-3.7,0,86,137,807,6,4,,,,
Jadon,Hanzal,10,,,,,3,5,8,0,0,,,,
Traivon,Dyson,10,,,,,,,,,,47,649,13.81,8
Luke,Bodine,4,,,,,,,,,,11,135,12.27,0
Karsyn,Jablonski,4,,,,,,,,,,10,135,13.50,1
Sean,Saise,9,,,,,,,,,,7,65,9.29,1
Collin,Gapen,6,,,,,,,,,,6,48,8.00,0
Christian,Arteaga,11,,,,,,,,,,3,17,5.67,1
Ethan,Heinrich,8,,,,,,,,,,0,0,0.0,0
Brayden,Iverson,7,,,,,,,,,,0,0,0.0,0
Dominic,Mazzulla,10,,,,,,,,,,1,-3,-3.00,0
