first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Latravious,Boyd,11,101,714,7.1,7,,,,,,14,151,10.79,0
Dawson,Forgy,11,112,503,4.5,5,0,1,0,0,0,15,134,8.93,1
Nick,Bohn,11,98,180,1.8,12,178,293,2677,22,8,,,,
Kendrick,Watkins-Hogue,11,11,67,6.1,0,,,,,,59,743,12.59,8
Zachary,Coleman,4,7,30,4.3,0,,,,,,,,,
Jason,Jones,3,5,14,2.8,0,,,,,,,,,
Bennett,Dannenbring,2,1,5,5.0,0,2,4,22,0,0,,,,
Jett,Janssen,11,0,0,0.0,0,,,,,,,,,
Will,Washenberger,11,0,0,0.0,0,,,,,,,,,
Ashten,Schmaderer,11,,,,,,,,,,27,640,23.70,6
Trevor,Marshall,11,,,,,,,,,,32,451,14.09,2
Jadon,Johnson,7,,,,,,,,,,16,397,24.81,4
Avante,Savage,10,,,,,,,,,,7,115,16.43,0
Trey,Miller,8,,,,,,,,,,3,36,12.00,0
Cory,Hollinger,11,,,,,,,,,,2,15,7.50,1
Gage,Dengel,11,,,,,,,,,,3,14,4.67,0
Colton,Andrews,8,,,,,,,,,,2,3,1.50,0
Tanner,Houck,3,,,,,,,,,,0,0,0.0,0
Lane,VanderWal,9,,,,,,,,,,0,0,0.0,0
