first_name,last_name,gp,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Cair'ron,Hendred,11,86,604,7.0,5,,,,,,7,76,10.86,0
Ty,Gavin,11,100,412,4.1,4,,,,,,11,86,7.82,0
Quentin,Pringle,7,57,341,6.0,6,,,,,,1,59,59.00,0
Noah,Carlson,11,35,134,3.8,0,,,,,,2,19,9.50,0
Cole,Stenstrom,11,88,91,1.0,1,183,323,2452,16,12,0,0,0.0,0
Josh,Buri,7,16,57,3.6,0,0,2,0,0,1,2,11,5.50,0
Tristan,Root,11,1,13,13.0,0,,,,,,,,,
Kaleb,Skelly,11,1,6,6.0,0,0,1,0,0,0,45,571,12.69,4
Sylvere,Campbell,11,1,4,4.0,0,,,,,,33,629,19.06,6
Clay,Schueffner,11,1,3,3.0,0,,,,,,,,,
Jake,VanHulzen,11,3,2,0.7,0,6,11,84,0,1,,,,
Aarion,Lacy,5,3,1,0.3,0,,,,,,,,,
Tyler,Zirpoli,11,2,1,0.5,0,,,,,,2,16,8.00,0
Dakota,Matthees,10,0,0,0.0,0,,,,,,7,80,11.43,1
Noah,Pappas,11,0,0,0.0,0,,,,,,0,0,0.0,0
Keaton,Arendt,11,1,-3,-3.0,0,,,,,,22,251,11.41,1
Cayden,Holcomb,11,2,-3,-1.5,0,,,,,,21,244,11.62,2
Cooper,Nelson,10,,,,,,,,,,11,157,14.27,1
Thomas,Kiesau,11,,,,,,,,,,13,129,9.92,1
Aj,Scaife,7,,,,,,,,,,5,108,21.60,0
James,Durst,7,,,,,,,,,,3,72,24.00,0
Josh,Giese,2,,,,,,,,,,1,19,19.00,0
Brandon,BellJr.,3,,,,,,,,,,1,9,9.00,0
Easton,Knoll,6,,,,,,,,,,1,7,7.00,0
Tanner,Johnson,4,,,,,,,,,,0,0,0.0,0
Jacob,Leszczynksi,9,,,,,,,,,,1,-7,-7.00,0
