first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Isaiah,Huber,1,WR,Jr.,1,5'10″,190
Austin,Johnston,1,WR,Fr.,2,6'1″,185
Sam,Scholten,1,WR,Jr.,3,5'11″,175
Canyon,Bauer,1,WR,Sr.,4,6'0″,200
Braxton,Baker,1,QB,Fr.,5,6'3″,200
Jack,Fisher,1,WR,Sr.,6,6'2″,200
Mack,Molander,1,QB,Fr.,7,6'2″,210
Liam,Francis,1,WR,Jr.,9,5'11″,210
Thomas,Scholten,1,QB,Sr.,10,6'3″,215
Gunnar,Hensley,1,QB,So.,11,6'2″,195
Jaxon,Haynes,1,WR,Fr.,14,5'10″,160
Evan,Bearth,1,QB,So.,15,6'3″,210
Manny,Struck,1,WR,So.,17,6'2″,190
Klayton,Sattler,1,WR,So.,18,6'6″,220
Ethyn,Rollinger,1,WR,Jr.,19,6'3″,205
Ryan,Kenny,1,RB,Fr.,24,5'10″,190
Jake,Pecina,1,K,So.,25,5'10″,175
Kyle,Graham,1,RB,Sr.,26,5'10″,190
Rashad,Lampkin,1,RB,Jr.,30,5'9″,215
Antonio,Tablante,1,RB,Fr.,35,6'1″,205
Jack,Teigen,1,RB,Jr.,38,6'1″,190
Jorey,Sorenson,1,K,Sr.,60,6'1″,180
Brady,Pfeifer,1,K,Sr.,62,6'1″,220
Cody,Oswald,1,WR,Fr.,81,6'3″,190
Max,Minor,1,WR,Jr.,82,6'4″,190
Lincoln,Carlson,1,WR,So.,83,5'10″,175
Jackson,Adams,1,WR,Fr.,84,5'11″,185
Will,Boyles,1,WR,Jr.,89,6'6″,185
