first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Jake,Hill,2,WR,Sr.,2,6'0″,175
Aundreus,Griffin,2,WR,Jr.,3,6'2″,185
Drayton,Lehman,2,WR,Jr.,4,5'8″,185
Jarrett,Gronski,2,RB,Sr.,6,6'1″,220
Michael,Schurman,2,WR,So.,11,6'1″,185
Joey,Baron,2,WR,Gr.,12,5'8″,185
Elliott,Lowney,2,WR,So.,13,5'11″,185
Alex,Current,2,WR,Jr.,16,6'0″,195
Sam,McGath,2,QB,Sr.,17,6'1″,215
Zach,Romak,2,QB,So.,18,6'0″,180
Connor,Carver,2,QB,Fr.,19,6'3″,200
Antonio,Brown,2,RB,Fr.,22,5'11″,180
Brice,Peters,2,WR,Sr.,23,5'10″,190
Landon,Arends,2,K,So.,28,6'2″,205
Uriah,Glynn,2,RB,So.,32,5'9″,175
Jayden,Washington,2,RB,So.,33,5'7″,200
Joey,Prondzinski,2,K,Jr.,41,5'10″,190
Ethan,Biehn,2,WR,Fr.,80,5'10″,170
Kaleb,Miller,2,WR,Fr.,81,5'8″,180
