first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Jaylin,Richardson,3,RB,Sr.,1,6'0″,210
Luke,Gombert,3,QB,Jr.,2,6'2″,200
Chase,Pemberton,3,QB,Fr.,3,6'3″,190
Peter,Udoibok,3,WR,Sr.,3,6'4″,218
Reed,Styer,3,QB,So.,4,6'3″,220
Conner,Cordts,3,QB,Sr.,5,6'2″,205
Drew,Enke,3,WR,Sr.,11,6'3″,205
Jacob,Cannon,3,TE,Jr.,14,6'3″,250
Troy,Ellison,3,WR,Jr.,15,5'10″,180
Jackson,Compton,3,QB,So.,16,6'2″,170
Logan,Butler,3,QB,Fr.,17,6'5″,205
Adrian,Adams,3,WR,Sr.,18,6'3″,195
Daniel,Hornacek,3,RB,Jr.,21,5'11″,195
James,Evans IV,3,RB,So.,24,5'11″,225
Logan,Eisele,3,RB,Fr.,29,6'0″,205
Russell,Corrigan,3,TE,So.,40,6'3″,245
Jaden,Quast,3,WR,Jr.,40,5'10″,180
Camden,Ludeman,3,RB,So.,48,5'11″,220
Carter,Ryan,3,WR,So.,80,6'0″,185
James,Wade,3,TE,Jr.,82,6'3″,265
Ricky,Dixon,3,WR,So.,83,5'9″,184
Kenny,Steffen,3,K,Fr.,83,5'11″,170
Skyler,Sanders,3,TE,So.,84,6'2″,245
Brock,Thornton,3,WR,Jr.,85,6'5″,220
EJ,Stoffel,3,TE,So.,86,6'3″,245
Julius,Reynolds,3,WR,Jr.,87,6'4″,210
Rene,Zaldivar,3,WR,Sr.,88,5'11″,206
Riley,Heller,3,TE,Sr.,89,6'5″,255
Randy,Davis,3,WR,Fr.,00,5'10″,160
Timothy,Davis,3,WR,Fr.,00,5'8″,160
Jay,Hardy,3,WR,Fr.,00,6'3″,192
Parkees,Harris,3,RB,Fr.,00,5'10″,180
Latrell,Herrington,3,WR,Fr.,00,5'10″,160
Jeff,Isotalo-McGuire,3,K,Sr.,00,6'2″,195
Lex,Korti,3,RB,Fr.,00,5'7″,165
Joel,Lacy,3,RB,Jr.,00,6'1″,235
Nasir,McKenzie,3,RB,Fr.,00,5'9″,170
Randy,Moore,3,WR,Fr.,00,5'9″,155
EJ,Previlma,3,WR,Fr.,00,5'11″,170
Jaylon,Washington,3,RB,Jr.,00,5'7″,175
Jake,Weigel,3,WR,Fr.,00,5'9″,160
Ty,Williams,3,WR,Fr.,00,5'11″,170
Steve,Young,3,RB,Fr.,00,5'11″,190
