0	Jason Harris	DL	6-7	265	Jr.	Gilbert, Ariz.	Higley HS	Arizona
1	Jaylin Richardson	RB	6-0	210	Sr.	Kansas City, Kan.	FL Schlagle HS	Northern Iowa
2	Luke Gombert	QB	6-2	200	Jr.	Bulverde, Texas	Smithson Valley HS	Incarnate Word
3	Chase Pemberton	QB	6-3	190	Fr.	Andover, Minn.	Andover HS	
3	Peter Udoibok	WR	6-4	218	Sr.	St. Paul, Minn.	Cretin-Derham Hall HS	Northern Iowa
4	Brayden Hilgemann	LB	6-3	225	Sr.	Marshall, Minn.	Marshall HS	
4	Reed Styer	QB	6-3	220	So.	Menomonie, Wis.	Menomonie HS	
5	Conner Cordts	QB	6-2	205	Sr.	Peoria, Ariz.	Cactus HS	
5	Jordan Johnson	DB	5-10	171	So.	Jacksonville, N.C.	Northside HS	Chowan
6	Machai Campbell	DB	6-2	205	So.	Apopka, Fla.	Lake Highland Prep	
7	Koffi Gbekle	DL	6-4	319	Sr.	Minneapolis, Minn.	Kennedy HS	Northern State
7	Cyrus McClure	DB	6-1	195	Sr.	Carrollton, Ga.	Carrollton HS	
8	Jawon Carr	LB	6-1	230	Jr.	Milwaukee, Wis.	Milwaukee Lutheran HS	
9	Richard Wauer	LB	6-1	230	Jr.	Muskego, Wis.	Muskego HS	
10	Anthony Ukofia	DB	6-1	200	Sr.	Wayzata, Minn.	Wayzata HS	
11	Drew Enke	WR	6-3	205	Sr.	Clear Lake, Iowa	Clear Lake HS	Northern Iowa
13	Caden Baarts	LB	6-3	230	Jr.	Fairmont, Minn.	Fairmont HS	
14	Jacob Cannon	TE	6-3	250	Jr.	San Diego, Calif.	Mater Dei Catholic HS	
15	Troy Ellison	WR	5-10	180	Jr.	Minneapolis, Minn.	St. Anthony Village HS	
16	Jackson Compton	QB	6-2	170	So.	Greenfield, Wis.	Greenfield HS	
17	Logan Butler	QB	6-5	205	Fr.	Hutchinson, Minn.	Hutchinson HS	
18	Adrian Adams	WR	6-3	195	Sr.	Brooklyn Park, Minn.	Robbinsdale Cooper HS	North Dakota State
20	Hudson Jean	DB	6-1	195	Jr.	Naples, Fla.	Gulf Coast HS	
21	Daniel Hornacek	RB	5-11	195	Jr.	De Pere, Wis.	Notre Dame Academy	
