first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Sam,Pitz,5,TE,Gr.,0,6'6″,245
Cole,Ewald,5,WR,Sr.,7,6'2″,205
Jacob,Eggert,5,QB,So.,9,6'2″,195
Alex,Riley,5,RB,Fr.,10,6'0″,205
DaShaun,Ames,5,WR,Jr.,11,6'1″,200
Kyle,Walljasper,5,QB,Jr.,12,6'1″,240
AJ,Boarman,5,QB,Fr.,16,6'4″,205
Ben,Vallafskey,5,RB,So.,18,5'11″,185
Tyler,Collien,5,WR,Jr.,19,6'0″,195
Daniel,Mitchell,5,RB,Sr.,23,5'10″,193
Najeh,Mitchell,5,RB,Fr.,26,5'10″,170
Nathan,Litke,5,TE,So.,33,6'0″,220
Nick,Ojile,5,TE,So.,35,6'2″,223
Trace,Bowman,5,TE,Fr.,37,6'5″,260
Nate,Branch,5,TE,Fr.,47,6'3″,222
Jimmy,Durocher,5,WR,Sr.,82,6'2″,185
Alex,Schramm,5,WR,So.,83,5'11″,171
Ryder,Patterson,5,WR,Fr.,84,5'10″,185
Joel,Forgacs,5,TE,Gr.,85,6'4″,250
Chuck,Gilbert III,5,WR,Fr.,88,6'3″,190
Joey,Flaherty,5,WR,Fr.,89,6'2″,190
Tayvion,McCoy,5,WR,Fr.,89,6'0″,180
Drew,Henson,5,K,Fr.,98,6'6″,200
