first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Jeremiah,Howard,6,WR,So.,1,5'11″,190
Drew,Smook,6,K,So.,3,6'0″,195
Tony,Anger,6,TE,Jr.,5,6'3″,225
TreShawn,Watson,6,WR,So.,6,6'4″,200
Gabe,Hagen,6,TE,Jr.,8,6'4″,255
Shen,Butler-Lawson,6,RB,Jr.,9,6'0″,215
William,King III,6,QB,Jr.,10,6'3″,215
Sheldon,Butler-Lawson,6,WR,Fr.,11,6'2″,170
Mitchell,Thompson,6,QB,Fr.,12,6'3″,205
Isaiah,Emanuel,6,WR,So.,13,6'3″,205
Hayden,Ekern,6,QB,Jr.,15,6'2″,205
Matteo,Bonnin,6,WR,So.,19,6'3″,220
Christian,Vasser,6,RB,Jr.,23,6'2″,215
Sam,Backer,6,RB,Fr.,24,5'11″,190
Carter,Henderson,6,RB,Fr.,26,6'1″,200
Colin,Kadolph,6,RB,So.,27,5'11″,200
Riley,Marsh,6,WR,Fr.,35,6'4″,200
Keondre,Bryant,6,WR,Fr.,37,6'2″,185
Matthew,Jaeger,6,K,Jr.,40,6'1″,215
Drew,Kittelson,6,WR,Fr.,44,6'4″,200
Connor,Fournier,6,K,Fr.,47,6'1″,185
Aiden,Ferguson,6,TE,Jr.,48,6'5″,275
Andrew,Laplant,6,WR,Fr.,80,6'0″,205
Mason,Perich,6,WR,Fr.,81,6'3″,185
Jermell,Taylor,6,TE,Fr.,83,6'5″,235
Grant,Guyett,6,WR,So.,84,6'1″,190
Neal,May,6,WR,Fr.,85,5'11″,185
Brady,Borgen,6,WR,Jr.,86,6'4″,195
Jake,Cicero,6,TE,So.,87,6'6″,255
Anthony,Valainis,6,TE,Jr.,88,6'6″,255
