first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Evan,Lovett,7,RB,Sr.,0,6'1″,235
Denzel,Williams,7,WR,So.,3,6'2″,195
Matt,Donovan,7,QB,So.,4,5'10″,190
Devan,Daniels,7,RB,Fr.,5,5'9″,160
Carson,Chrisman,7,QB,Jr.,8,6'0″,190
Trevor,Jungman,7,QB,Jr.,10,6'0″,190
Aiden,George,7,QB,Fr.,11,6'0″,195
Matt,Shinn,7,QB,Fr.,13,6'0″,190
Jonathan,Noriega,7,WR,So.,14,6'0″,205
Tyson,Ruzicka,7,RB,Fr.,15,5'9″,180
Will,King III,7,QB,Sr.,19,6'3″,215
Erik,Palmquist,7,WR,Sr.,22,5'9″,190
Aaron,Wood,7,RB,Sr.,23,5'9″,180
Keandre,Harold,7,RB,Fr.,26,5'11″,200
Emmanuel,Igbonagwam,7,RB,Jr.,28,5'10″,205
Weston,Snyder,7,RB,Jr.,29,5'11″,200
Tyler,Stonebraker,7,RB,So.,32,5'8″,190
Blake,Espino,7,RB,So.,33,5'11″,235
Camden,Backman,7,RB,Fr.,34,5'10″,190
Michael,Clark,7,RB,Jr.,35,6'1″,220
Ben,Holte,7,RB,Fr.,36,5'10″,190
Malachi,Johnson,7,RB,Fr.,38,6'0″,180
Colton,Brusven,7,RB,Fr.,39,5'9″,195
Diego,Nunez-Smith,7,K,Jr.,39,5'10″,180
Josh,Pinello,7,TE,Jr.,40,6'2″,240
Tyler,Johnson,7,TE,Fr.,42,6'2″,230
Tipisone,Manu,7,RB,Fr.,43,5'9″,185
Sam,Buckhanan,7,RB,So.,44,5'11″,225
Maverick,Price,7,K,Fr.,48,6'2″,170
Hayden,Hong,7,WR,Fr.,80,6'0″,180
Brian,Weatherford,7,WR,So.,82,6'3″,220
Ricco,Sastoque,7,K,Jr.,84,6'0″,180
Johnny,Bellino,7,WR,Fr.,85,5'11″,190
Cruz,Garcia,7,TE,Fr.,87,6'2″,255
Trevor,Catronio,7,WR,Fr.,88,6'0″,200
Damon,Darling,7,TE,So.,89,6'3″,250
