first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Fynn,Ridgeway,8,RB,Fr.,1,6'1″,190
Brady,Perryman,8,WR,Jr.,3,5'11″,170
Carter,Birrenkott,8,WR,Jr.,4,6'4″,225
Gage,Florence,8,WR,Jr.,6,5'10″,185
Tommy,Falk,8,QB,Sr.,10,6'1″,205
Madden,Thorson,8,WR,So.,11,5'11″,185
Kelly,Johnson,8,WR,Fr.,14,5'11″,175
Jack,Strand,8,QB,Jr.,15,6'5″,220
Grant,Warkenthien,8,QB,So.,16,5'11″,180
Carson,Elbert,8,WR,Jr.,17,6'4″,205
Lucas,Slack,8,QB,Fr.,18,6'1″,193
Louis,Sobiech,8,WR,So.,19,6'1″,195
Luke,Imdieke,8,RB,Sr.,23,5'9″,195
Owen,Wiersma,8,RB,So.,24,6'0″,188
Tyson,Brandt,8,RB,Fr.,28,5'11″,191
Clayton,Kosel,8,RB,Fr.,33,5'9″,184
Jaxen,Johnson,8,WR,So.,40,6'4″,200
Sebastian,Amorrortu,8,K,Jr.,42,5'8″,180
Jacob,Schroeder,8,K,Jr.,46,5'10″,170
Peyton,Arndt,8,WR,Fr.,81,5'10″,180
Jacob,Vetter,8,TE,Sr.,82,6'4″,200
Brody,Headley,8,WR,So.,85,5'10″,170
Jordan,Marty,8,TE,Sr.,89,6'2″,245
