first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Daniel,Britt,9,QB,Jr.,1,5'11″,190
Tanner,Branson,9,WR,Jr.,2,6'0″,185
Cruz,Soulek,9,QB,Fr.,3,6'3″,200
Azariah,Atonio,9,QB,Fr.,4,6'2″,210
Colton,Hackel,9,QB,So.,5,6'2″,220
Jacob,Van Landingham,9,TE,6th,6,5'11″,220
Zach,Jorgensen,9,WR,Fr.,7,6'3″,195
Julian,Scott,9,WR,So.,9,6'0″,175
Ty,Wiley,9,WR,Gr.,10,6'0″,175
Anthony,Vespo,9,QB,Sr.,11,6'3″,220
Colin,Fritton,9,WR,So.,12,5'11″,180
Maxamillion,Thomson,9,QB,Jr.,13,6'3″,220
Rayvelle,Leak,9,RB,Fr.,15,5'11″,180
Nate,Kollath,9,QB,Fr.,16,6'3″,225
Hank,Kraft,9,RB,So.,21,5'9″,200
Cade,Kaiser,9,WR,Fr.,22,6'2″,190
Brock,Pedersen,9,K,Fr.,22,5'10″,180
Noah,Smith,9,RB,Jr.,23,6'0″,180
Carson,LaPlante,9,WR,Fr.,24,5'10″,165
Teflon,Lee,9,WR,So.,26,6'4″,190
Stanley,Haskins Jr.,9,RB,Gr.,28,5'8″,180
Matt,Larson,9,RB,So.,32,5'10″,180
Trenton,Peterson,9,WR,So.,34,5'11″,185
Jeremy,Caruso,9,K,So.,36,5'11″,180
Brock,Ellingson,9,WR,Fr.,38,6'5″,215
Wyatt,Block,9,RB,Sr.,39,5'7″,185
Dawson,Siem,9,TE,Fr.,43,6'0″,215
Cooper,Fosher,9,TE,Fr.,45,6'4″,230
Trevor,Schwartz,9,TE,Jr.,48,6'4″,225
Kimani,Quade,9,WR,Jr.,49,5'9″,165
Owen,Zahm,9,TE,Fr.,80,6'4″,225
Kadyn,Weber,9,WR,Fr.,81,6'4″,170
Louie,Schwabe,9,WR,So.,82,6'5″,195
Cooper,Eisenbeisz,9,WR,Fr.,83,6'2″,180
Carson,Barnett,9,WR,So.,84,6'3″,190
Jack,Oedekoven,9,WR,Sr.,85,6'4″,200
Zach,Kraft,9,TE,Sr.,86,6'4″,230
Gavin,Giesler,9,TE,Jr.,87,6'2″,205
DJ,Smith,9,WR,Fr.,88,6'3″,200
Brodey,Sauerwein,9,TE,Fr.,89,6'5″,215
Parker,Messmer,9,K,Fr.,94,6'6″,215
Wade,James,9,K,Jr.,00,6'1″,195
Nick,Kennewell,9,WR,Sr.,00,6'3″,190
