first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Kendon,Krogman,11,QB,Fr.,14,6'4″,188
Cade,Eddington,11,WR,Sr.,16,5'10″,175
Nathan,Stearns,11,WR,Sr.,17,6'6″,192
Bailey,Cowell,11,WR,Sr.,29,6'0″,175
Treay,Taylor,11,RB,So.,30,5'10″,185
Octavis,Cherry,11,RB,Sr.,34,5'9″,152
DaNari,Connors,11,RB,Fr.,37,5'8″,160
Zander,Wolf,11,RB,Fr.,49,6'1″,187
Greg,Schafer,11,WR,Fr.,80,5'9″,165
Colin,Maher,11,WR,Jr.,81,6'2″,188
Jeremy,Greer,11,WR,So.,82,6'0″,176
Lincoln,Benson,11,TE,Jr.,83,6'3″,245
Tryg,Auten,11,WR,Fr.,84,6'0″,181
Matt,Willis,11,TE,So.,85,6'4″,211
Jake,Anderson,11,WR,Jr.,88,6'2″,194
Erik,Vedoy,11,TE,Fr.,89,6'5″,283
