first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Alex,Murrell,10,WR,Sr.,0,6'3″,200
Carter,Slykhuis,10,WR,Gr.,1,5'10″,185
Jacqueze,Lockett,10,WR,Gr.,2,5'11″,195
Jaelon,Taylor,10,WR,Sr.,4,6'2″,185
Adam,Mullen,10,QB,Gr.,7,6'0″,195
Camden,Dean,10,QB,Jr.,12,5'11″,180
Ethan,Bachmann,10,WR,Jr.,13,6'4″,205
Adonis,Hutchinson,10,WR,So.,15,6'1″,175
Dylan,Elrod,10,QB,Fr.,16,5'11″,190
Bennett,Brueck,10,QB,Fr.,18,6'1″,205
Dylan,Rudningen,10,RB,Sr.,22,5'9″,210
Christian,Nash,10,RB,So.,25,6'0″,225
Isaac,Benoit,10,RB,Jr.,26,5'10″,200
Matt,Grzybowski,10,RB,Jr.,27,5'9″,210
Carlson,Tann III,10,RB,Fr.,30,5'10″,195
Nick,Hernandez,10,K,Sr.,37,6'0″,185
Cooper,Garber,10,TE,Fr.,42,6'2″,240
Kaleb,Brasher,10,TE,Jr.,44,6'4″,255
Blake,Stahl,10,TE,Fr.,45,6'5″,230
Keevyn,Jacobsma,10,TE,Fr.,46,6'4″,250
Jacob,Emslander,10,TE,So.,48,6'4″,240
Dahlton,Wood,10,TE,So.,81,6'7″,240
Lance,Opp,10,WR,Gr.,84,6'0″,200
Mark,Leonard,10,TE,Sr.,85,6'5″,250
Travis,Yohnke,10,TE,Gr.,86,6'4″,250
Christian,Janis,10,WR,So.,87,6'3″,195
Noah,Robertson,10,TE,So.,88,6'4″,230
Jack,Merkwan,10,WR,Fr.,89,6'2″,200
John,Palmer,10,WR,Jr.,89,6'0″,190
Hank,Brown Jr.,10,WR,Fr.,00,5'11″,175
Joe,Cottingham,10,WR,Fr.,00,6'3″,190
Max,Edwin,10,RB,Fr.,00,6'0″,210
Matthew,Glennon,10,TE,Fr.,00,6'4″,220
Isaac,Jarovski,10,WR,Fr.,00,6'0″,180
Tate,Schafer,10,QB,Fr.,00,6'1″,200
Donovan,Torgerson,10,TE,Fr.,00,6'4″,245
Trevor,Wehde,10,WR,Fr.,00,5'11″,165
