first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Bennett,Dannenbring,12,QB,Rf.,2,6'1″,205
Kendrick,Watkins-Hogue,12,WR,So.,3,6'0″,180
Nick,Bohn,12,QB,Sr.,4,6'1″,215
Jadon,Johnson,12,WR,Sr.,6,6'1″,200
Stanley,Bryant,12,WR,So.,8,6'2″,185
DJ,McPherson,12,WR,Jr.,10,6'1″,185
Dilan,Krause,12,QB,Jr.,14,6'0″,190
Keaton,Bonderson,12,WR,Rf.,15,6'0″,170
Colton,Andrews,12,WR,Jr.,16,6'1″,185
Trevor,Marshall,12,WR,Jr.,17,6'2″,220
Ashten,Schmaderer,12,WR,Sr.,18,6'1″,195
Boston,Hensley,12,K,So.,19,5'10″,165
Dawson,Forgy,12,RB,Jr.,22,5'11″,190
Latravious,Boyd,12,RB,So.,28,6'1″,200
Jason,Jones,12,RB,Rf.,32,6'2″,200
Luke,Fenton,12,K,So.,33,5'11″,190
Trace,Anderson,12,K,Fr.,39,6'2″,195
Alex,Phelps,12,WR,Rf.,80,6'0″,170
Lane,VanderWal,12,WR,Sr.,83,6'3″,230
Cory,Hollinger,12,TE,So.,84,6'4″,240
Trey,Miller,12,TE,Jr.,86,6'3″,230
Dane,Petersen,12,TE,So.,87,6'4″,230
Shea,Gossett,12,WR,Jr.,88,6'1″,195
Tanner,Houck,12,TE,Rf.,89,6'4″,215
