first_name,last_name,team_id,pos,cls,jersey_number,height,weight
Sylvere,Campbell,13,WR,Sr.,1,6'2″,220
Kaleb,Skelly,13,WR,Jr.,2,6'4″,215
Joe,Sikma,13,WR,Jr.,3,5'11″,180
Ty,Gavin,13,RB,Jr.,4,5'11″,195
Thomas,Kiesau,13,WR,Sr.,6,6'2″,200
Jacob,Scott,13,K,Sr.,8,6'1″,185
Tristan,Root,13,K,Sr.,9,5'10″,190
Peter,Anderson,13,QB,Jr.,10,6'1″,205
Cayden,Holcomb,13,WR,So.,12,5'10″,180
Justin,Wohlers,13,QB,So.,12,6'6″,230
Jonathan,Mann,13,WR,Sr.,13,6'4″,210
Jackson,Flottmeyer,13,QB,Rf.,15,6'5″,225
Cole,Stenstrom,13,QB,Sr.,16,6'0″,215
Jim,Curtin,13,WR,So.,18,6'0″,195
Easton,Knoll,13,WR,Sr.,20,5'11″,200
Quentin,Pringle,13,RB,Gr.,21,5'9″,198
Anthony,Powell,13,RB,Rf.,25,5'11″,200
Cair'ron,Hendred,13,RB,Jr.,26,5'8″,190
Josh,Buri,13,RB,Jr.,28,5'11″,220
Carter,Nair,13,K,So.,38,6'4″,185
Ty,Johnson,13,WR,Jr.,80,6'2″,185
Mason,Kolling,13,TE,Rf.,81,6'4″,245
AJ,Scaife,13,TE,Sr.,82,6'4″,220
Carter,Todd,13,WR,So.,83,6'4″,195
Nick,Grande,13,WR,So.,84,6'0″,190
Brandon,Bell Jr.,13,WR,So.,85,5'11″,170
Tyler,Wilken,13,WR,Sr.,86,6'2″,195
James,Durst,13,TE,So.,87,6'5″,240
Cole,Lipper,13,TE,Rf.,89,6'3″,240
LJ,Dagen,13,QB,Fr.,00,6'1″,170
Maurice,Densmore,13,WR,Fr.,00,5'11″,180
Carter,Holcomb,13,WR,Rf.,00,5'9″,170
Aiden,Krause,13,TE,Fr.,00,6'3″,225
Hayden,McDaniel,13,K,Fr.,00,5'9″,170
Tyler,Nichols,13,TE,Fr.,00,6'4″,230
AJ,Palicki,13,QB,Fr.,00,6'4″,215
Jaylen,West,13,WR,So.,00,6'0″,180
