first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Hank,Kraft,17,110,6.5,2,,,,,,1,2,2.0,0
Daniel,Britt,4,44,11.0,0,11,16,144,1,0,1,12,12.0,0
Wyatt,Block,8,19,2.4,0,,,,,,1,-2,-2.0,0
Stanley,Haskins Jr.,3,9,3.0,0,,,,,,,,,
Colton,Hackel,2,4,2.0,1,1,1,2,0,0,,,,
Jacob,Van Landingham,,,,,1,1,12,0,0,2,20,10.0,0
Jack,Oedekoven,,,,,,,,,,2,65,32.5,0
Julian,Scott,,,,,,,,,,1,26,26.0,0
Cade,Kaiser,,,,,,,,,,3,21,7.0,1
Collin,Fritton,,,,,,,,,,2,10,5.0,0
Zach,Kraft,,,,,,,,,,0,0,0.0,0
