first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jayden,Washington,11,51,4.6,1,,,,,,,,,
Antonio,Brown,6,42,7.0,1,,,,,,,,,
Justin,Incaprera,10,41,4.1,0,,,,,,1,-7,-7.0,0
Jarrett,Gronski,10,30,3.0,1,,,,,,,,,
Zach,Romak,1,10,10.0,0,2,2,2,0,0,,,,
Brice,Peters,1,10,10.0,0,,,,,,5,128,25.6,2
Sam,McGath,7,-5,-0.7,0,18,26,271,2,1,,,,
Michael,Schurman,,,,,,,,,,3,45,15.0,0
Kaleb,Miller,,,,,,,,,,4,43,10.8,0
Alex,Current,,,,,,,,,,1,40,40.0,0
Ethan,Biehn,,,,,,,,,,3,20,6.7,0
Drayton,Lehman,,,,,,,,,,3,17,5.7,0
