first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Max,Grand,9,41,4.6,0,,,,,,2,28,14.0,0
Rashad,Lampkin,5,30,6.0,0,,,,,,2,6,3.0,0
Ryan,Kenny,7,29,4.1,0,,,,,,1,0,0.0,0
Gunnar,Hensley,6,13,2.2,0,28,35,358,4,2,1,4,4.0,1
Mack,Molander,,,,,4,5,44,1,0,,,,
Jack,Fisher,,,,,1,1,4,1,0,6,105,17.5,2
Isaiah,Huber,,,,,,,,,,3,67,22.3,1
Matt,Francis,,,,,,,,,,3,57,19.0,0
Sam,Scholten,,,,,,,,,,4,48,12.0,1
Austin,Johnston,,,,,,,,,,4,41,10.2,1
Max,Minor,,,,,,,,,,1,18,18.0,0
Liam,Francis,,,,,,,,,,1,12,12.0,0
Will,Lynch,,,,,,,,,,2,12,6.0,0
Canyon,Bauer,,,,,,,,,,1,4,4.0,0
Luke,Leonard,,,,,,,,,,1,3,3.0,0
Jacob,Remmert,,,,,,,,,,1,1,1.0,0
