first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Carter,Henderson,9,43,4.8,0,,,,,,,,,
Christian,Vasser,8,36,4.5,1,,,,,,1,7,7.0,0
Tony,Anger,5,31,6.2,0,,,,,,,,,
Neal,May,2,31,15.5,0,,,,,,3,17,5.7,0
Sam,Backer,6,28,4.7,1,,,,,,1,12,12.0,0
Mitchell,Thompson,8,27,3.4,0,4,9,47,1,0,,,,
Hayden,Ekern,2,8,4.0,0,14,19,252,3,0,,,,
TreShawn,Watson,,,,,,,,,,6,144,24.0,2
Jeremiah,Howard,,,,,,,,,,3,69,23.0,1
Isaiah,Emanuel,,,,,,,,,,2,28,14.0,1
Grant,Guyett,,,,,,,,,,1,15,15.0,0
Sal,Balistrieri,,,,,,,,,,1,7,7.0,0
Jake,Cicero,,,,,,,,,,0,0,0.0,0
