first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Ryder,Patterson,4,52,13.0,1,,,,,,7,55,7.9,0
Derrick,Johnson,9,46,5.1,0,,,,,,1,4,4.0,0
Kyle,Walljasper,17,41,2.4,1,23,35,231,1,0,,,,
Alex,Riley,1,2,2.0,0,,,,,,,,,
DaShaun,Ames,,,,,,,,,,3,70,23.3,1
Sam,Pitz,,,,,,,,,,6,50,8.3,0
Jimmy,Durocher,,,,,,,,,,4,27,6.8,0
Ben,Fritsch,,,,,,,,,,1,20,20.0,0
Chuck,Gilbert III,,,,,,,,,,1,5,5.0,0
Ben,Vallafskey,,,,,,,,,,0,0,0.0,0
