first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Dylan,Rudningen,15,110,7.3,0,,,,,,,,,
Camden,Dean,16,78,4.9,1,17,25,304,4,2,,,,
Matt,Grzybowski,8,50,6.3,0,,,,,,,,,
Christian,Nash,3,5,1.7,0,,,,,,,,,
Hank,Brown Jr.,1,-2,-2.0,0,,,,,,4,74,18.5,1
Carter,Slykhuis,,,,,,,,,,7,147,21.0,2
Christian,Janis,,,,,,,,,,1,43,43.0,0
Mark,Leonard,,,,,,,,,,3,25,8.3,1
Travis,Yohnke,,,,,,,,,,1,11,11.0,0
Adonis,Hutchinson,,,,,,,,,,1,4,4.0,0
