first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jaylin,Richardson,22,86,3.9,2,,,,,,0,0,0.0,0
Jackson,Compton,5,30,6.0,0,22,34,267,1,0,,,,
Parkees,Harris,5,10,2.0,0,,,,,,1,9,9.0,0
Jaylon,Washington,,,,,,,,,,8,92,11.5,1
Drew,Enke,,,,,,,,,,5,77,15.4,0
Peter,Udoibok,,,,,,,,,,3,36,12.0,0
EJ,Stoffel,,,,,,,,,,1,19,19.0,0
Julius,Reynolds,,,,,,,,,,1,16,16.0,0
Carter,Ryan,,,,,,,,,,1,12,12.0,0
Jay,Hardy,,,,,,,,,,1,8,8.0,0
Russell,Corrigan,,,,,,,,,,1,-2,-2.0,0
