first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Carson,Chrisman,12,71,5.9,1,11,20,158,0,0,,,,
Evan,Lovett,10,41,4.1,0,,,,,,,,,
Tyler,Stonebraker,7,30,4.3,0,,,,,,1,4,4.0,0
Sam,Buckhanan,5,25,5.0,0,,,,,,1,3,3.0,0
Erik,Palmquist,4,16,4.0,0,,,,,,1,42,42.0,0
Devan,Daniels,6,7,1.2,0,,,,,,1,7,7.0,0
Connor,Raetzman,0,0,0.0,0,,,,,,,,,
Jonathan,Noriega,,,,,,,,,,2,47,23.5,0
Josh,Pinello,,,,,,,,,,1,23,23.0,0
Johnny,Bellino,,,,,,,,,,3,23,7.7,0
Damon,Darling,,,,,,,,,,1,9,9.0,0
Aiden,Shumate,,,,,,,,,,0,0,0.0,0
