first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Greg,Schafer,1,18,18.0,0,,,,,,0,0,0.0,0
Zander,Wolf,6,18,3.0,0,,,,,,2,30,15.0,0
Jacob,Honstetter,7,17,2.4,0,,,,,,1,6,6.0,0
Kendon,Krogman,14,8,0.6,0,12,17,96,1,0,,,,
Treay,Taylor,2,8,4.0,0,,,,,,,,,
Wyatt,Oak,,,,,0,1,0,0,0,,,,
Tryg,Auten,,,,,,,,,,2,24,12.0,0
Omar,Abdi,,,,,,,,,,2,20,10.0,0
Jake,Anderson,,,,,,,,,,2,6,3.0,0
Colin,Maher,,,,,,,,,,2,5,2.5,1
Stevie,McMath,,,,,,,,,,1,5,5.0,0
