first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Jackson,Flottmeyer,8,72,9.0,2,11,19,227,3,1,,,,
Anthony,Powell,7,33,4.7,0,,,,,,,,,
Cair'ron,Hendred,12,33,2.8,0,,,,,,,,,
Ty,Gavin,7,32,4.6,0,,,,,,0,0,0.0,0
Quentin,Pringle,8,30,3.8,0,,,,,,,,,
Josh,Buri,1,1,1.0,0,,,,,,1,15,15.0,0
Cole,Stenstrom,2,-5,-2.5,0,2,3,33,0,0,,,,
Peter,Anderson,,,,,0,1,0,0,0,,,,
Sylvere,Campbell,,,,,,,,,,4,118,29.5,2
Joe,Sikma,,,,,,,,,,3,72,24.0,0
Maurice,Densmore,,,,,,,,,,2,29,14.5,0
Thomas,Kiesau,,,,,,,,,,1,18,18.0,0
Cayden,Holcomb,,,,,,,,,,1,5,5.0,0
Ty,Johnson,,,,,,,,,,1,3,3.0,1
Easton,Knoll,,,,,,,,,,0,0,0.0,0
Austin,Morris,,,,,,,,,,0,0,0.0,0
