first_name,last_name,rush_att,rush_yds,rush_avg,rush_td,pass_comp,pass_att,pass_yds,pass_td,pass_int,recieve_rec,recieve_yds,recieve_avg,recieve_td
Latravious,Boyd,11,22,2.0,0,,,,,,1,75,75.0,1
Brennan,Hayes,4,19,4.8,0,,,,,,0,0,0.0,0
Nick,Bohn,12,18,1.5,0,14,29,209,2,3,,,,
Akeem,Knox,4,3,0.8,0,,,,,,,,,
Jadon,Johnson,,,,,,,,,,4,51,12.8,0
Ashten,Schmaderer,,,,,,,,,,4,43,10.8,1
Kendrick,Watkins-Hogue,,,,,,,,,,2,20,10.0,0
Trey,Miller,,,,,,,,,,2,12,6.0,0
Curtis,Witte,,,,,,,,,,1,8,8.0,0
Trevor,Marshall,,,,,,,,,,0,0,0.0,0
Cory,Hollinger,,,,,,,,,,0,0,0.0,0
